employee_id,full_name,department,title,hire_date,salary_usd,manager_id
5116,Quinn Scott,Sales,Analyst,2019-07-25,82509,5035.0
5117,Drew Young,Engineering,Specialist,2015-09-06,82844,5044.0
5118,Riley Scott,Sales,Specialist,2021-10-31,117212,5012.0
5119,Riley Adams,Support,Specialist,2023-05-24,207676,
5120,Quinn Allen,Support,Senior Engineer,2017-09-06,213632,5064.0
5121,Cameron Lee,Finance,Analyst,2024-12-20,187278,5056.0
5122,Cameron Allen,Finance,Specialist,2023-06-03,169587,5060.0
5123,Drew Scott,Finance,Manager,2018-06-13,133632,5021.0
5124,Sam Martin,Finance,Specialist,2021-01-29,215622,5019.0
5125,Cameron Green,HR,Analyst,2018-09-07,107232,5082.0
5126,Cameron Scott,Finance,Manager,2021-08-15,90228,5074.0
5127,Casey Nguyen,Finance,Senior Engineer,2019-04-21,140925,5030.0
5128,Casey Hall,Finance,Manager,2022-10-09,92693,5061.0
5129,Taylor Walker,Sales,Analyst,2022-08-28,139533,5081.0
5130,Casey Martin,Operations,Engineer,2017-02-25,155019,5088.0
5131,Sam Hall,Finance,Manager,2024-03-21,142165,
5132,Sam Adams,Engineering,Analyst,2017-04-19,89337,5080.0
5133,Casey Green,Finance,Specialist,2021-09-13,72060,5031.0
5134,Jordan Nguyen,Finance,Engineer,2023-07-27,103993,5070.0
5135,Alex Adams,HR,Senior Engineer,2020-03-13,134459,5033.0
5136,Drew Adams,Operations,Senior Engineer,2024-11-10,162606,5058.0
5137,Sam Adams,Finance,Director,2022-02-08,170600,5062.0
5138,Quinn Young,Operations,Senior Engineer,2016-02-12,60322,5037.0
5139,Sam Hall,Sales,Director,2022-05-12,93438,5048.0
5140,Taylor Walker,Support,Senior Engineer,2024-10-24,134369,5071.0
5141,Sam Allen,Operations,Senior Engineer,2015-03-05,73134,5044.0
5142,Riley Nguyen,Operations,Senior Engineer,2022-03-06,62575,
5143,Quinn Allen,Finance,Director,2025-10-24,131899,
5144,Alex Nguyen,Finance,Specialist,2021-10-03,143307,5064.0
5145,Sam Lee,Finance,Director,2025-09-19,149265,5083.0
5146,Casey Young,HR,Manager,2021-01-02,74812,5077.0
5147,Sam Nguyen,Support,Analyst,2024-02-26,99522,5027.0
5148,Drew Scott,HR,Analyst,2015-01-17,143383,5044.0
5149,Taylor Scott,HR,Specialist,2025-07-30,79932,5019.0
5150,Drew Lee,HR,Analyst,2020-11-15,103966,5098.0
5151,Alex Walker,Sales,Senior Engineer,2021-11-04,100580,5022.0
5152,Alex Green,Support,Specialist,2025-06-07,163113,5038.0
5153,Alex Young,Sales,Analyst,2023-04-11,81199,5066.0
5154,Taylor Adams,Sales,Director,2017-06-16,158528,5086.0
5155,Drew Hall,Support,Manager,2017-10-12,199909,5000.0
5156,Cameron Martin,Sales,Engineer,2018-06-20,67688,5026.0
5157,Riley Young,Support,Manager,2016-04-23,195859,5054.0
5158,Alex Lee,Operations,Analyst,2015-07-20,145640,5059.0
5159,Jordan Scott,Operations,Specialist,2025-11-21,115539,5002.0
5160,Drew Hall,Finance,Analyst,2020-05-26,186135,5064.0
5161,Drew Nguyen,HR,Director,2024-09-14,132688,5050.0
5162,Casey Walker,Operations,Manager,2015-06-28,139732,5081.0
5163,Morgan Walker,Operations,Director,2021-12-30,201031,5018.0
5164,Morgan Green,Sales,Director,2016-03-28,217352,5015.0
5165,Quinn Green,Support,Engineer,2021-05-06,213539,5078.0
5166,Taylor Young,Engineering,Director,2024-01-19,202128,5068.0
5167,Alex Martin,Sales,Director,2025-02-12,58135,5078.0
5168,Casey Lee,Sales,Engineer,2016-04-30,72564,5077.0
5169,Alex Hall,Support,Senior Engineer,2020-07-16,118258,5005.0
5170,Alex Scott,Engineering,Senior Engineer,2016-07-31,158813,5024.0
5171,Casey Lee,Engineering,Specialist,2015-12-04,82462,5022.0
5172,Casey Lee,Finance,Engineer,2017-05-10,111682,5093.0
5173,Riley Allen,Sales,Specialist,2022-09-05,57728,5046.0
5174,Sam Allen,HR,Specialist,2022-09-05,193703,5006.0
5175,Morgan Nguyen,Operations,Director,2020-06-26,196956,5025.0
5176,Sam Martin,Sales,Specialist,2019-01-11,79974,5086.0
5177,Quinn Nguyen,HR,Analyst,2022-03-16,170092,5083.0
5178,Casey Hall,HR,Manager,2020-08-04,156177,5089.0
5179,Taylor Scott,Support,Analyst,2024-05-21,168795,5035.0
5180,Quinn Scott,Sales,Analyst,2023-07-18,139614,5062.0
5181,Casey Lee,Support,Director,2019-02-28,196346,5024.0
5182,Sam Green,Finance,Manager,2021-07-21,204923,5013.0
5183,Cameron Scott,HR,Specialist,2016-12-02,116816,
5184,Cameron Green,Engineering,Manager,2015-10-20,103526,5018.0
5185,Morgan Green,HR,Specialist,2025-04-18,108467,5058.0
5186,Jordan Hall,Finance,Senior Engineer,2025-04-02,171609,5089.0
5187,Taylor Martin,HR,Engineer,2018-03-19,179420,5008.0
5188,Alex Lee,Support,Director,2019-05-25,134430,5091.0
5189,Drew Scott,Sales,Specialist,2019-04-18,81965,5031.0
5190,Quinn Adams,Engineering,Specialist,2022-10-14,216630,5039.0
5191,Casey Martin,Support,Manager,2020-02-23,114807,5033.0
5192,Cameron Allen,Operations,Director,2017-10-18,107520,5037.0
5193,Jordan Adams,Sales,Specialist,2018-07-07,185030,5022.0
5194,Taylor Hall,Engineering,Senior Engineer,2024-04-16,153983,5068.0
5195,Taylor Martin,Finance,Analyst,2020-10-25,177194,5074.0
5196,Cameron Hall,HR,Specialist,2018-02-07,137667,5081.0
5197,Drew Martin,Engineering,Manager,2022-11-04,203777,5030.0
5198,Jordan Green,Operations,Senior Engineer,2017-06-14,184335,5075.0
5199,Riley Lee,Finance,Director,2022-05-22,100110,5061.0
5200,Drew Scott,Sales,Specialist,2016-06-30,186032,5095.0
5201,Sam Young,Engineering,Senior Engineer,2018-12-17,59789,5039.0
5202,Taylor Walker,Finance,Senior Engineer,2021-09-07,55533,5099.0
5203,Jordan Lee,Sales,Senior Engineer,2024-01-20,105970,5072.0
5204,Cameron Green,Support,Senior Engineer,2024-04-24,83776,5076.0
5205,Taylor Green,HR,Senior Engineer,2025-05-11,73725,
5206,Drew Young,Finance,Senior Engineer,2021-06-30,119367,5047.0
5207,Alex Green,Support,Engineer,2015-05-31,127230,5050.0
5208,Alex Adams,Operations,Director,2024-11-26,125542,
5209,Taylor Green,Operations,Analyst,2019-07-18,147534,5027.0
5210,Jordan Allen,Sales,Director,2020-08-05,157849,5095.0
5211,Jordan Scott,Engineering,Manager,2017-05-28,150623,5039.0
5212,Quinn Lee,HR,Manager,2023-07-01,158211,5014.0
5213,Sam Walker,Sales,Director,2021-05-08,59485,5048.0
5214,Quinn Adams,Finance,Senior Engineer,2022-11-23,121771,
5215,Quinn Adams,HR,Engineer,2020-01-20,152519,5049.0
5216,Sam Walker,Support,Analyst,2025-02-24,121681,5057.0
5217,Cameron Green,HR,Specialist,2025-12-09,209876,5032.0
5218,Alex Martin,Support,Specialist,2021-08-12,56475,5075.0
5219,Cameron Adams,Sales,Senior Engineer,2019-02-24,181803,5009.0
5220,Quinn Adams,Engineering,Director,2024-04-10,107073,5087.0
5221,Jordan Lee,Operations,Specialist,2016-08-12,65047,5095.0
5222,Sam Young,HR,Director,2016-08-10,181104,
5223,Drew Allen,Engineering,Engineer,2022-03-04,150957,5083.0
5224,Casey Walker,Engineering,Engineer,2025-01-16,148491,5048.0
5225,Casey Green,Operations,Director,2018-10-23,142599,5043.0
5226,Morgan Hall,HR,Senior Engineer,2020-10-28,103444,5019.0
5227,Taylor Hall,HR,Senior Engineer,2020-03-24,207871,5041.0
5228,Riley Martin,Engineering,Senior Engineer,2018-04-10,141858,5094.0
5229,Riley Adams,Finance,Specialist,2015-09-15,166897,5016.0
5230,Drew Adams,Finance,Analyst,2021-05-15,158351,5013.0
5231,Morgan Young,HR,Analyst,2021-12-26,112895,5020.0
5232,Alex Adams,Engineering,Senior Engineer,2019-10-23,163500,5052.0
5233,Drew Hall,Engineering,Director,2022-02-18,117559,5092.0
5234,Quinn Walker,Sales,Engineer,2021-12-13,210075,5055.0
5235,Drew Martin,Engineering,Manager,2019-05-28,208573,5020.0
5236,Casey Young,Operations,Engineer,2016-07-19,86092,5041.0
5237,Riley Allen,Finance,Engineer,2025-09-15,84768,5035.0
5238,Alex Hall,Sales,Manager,2019-10-23,89604,
5239,Taylor Nguyen,Operations,Senior Engineer,2025-11-08,142824,5048.0
5240,Quinn Lee,Finance,Engineer,2018-09-22,101760,5008.0
5241,Taylor Young,Operations,Manager,2022-01-12,61476,5083.0
5242,Casey Young,Support,Specialist,2021-07-01,184416,5052.0
5243,Morgan Hall,HR,Director,2018-04-10,153138,5083.0
5244,Taylor Martin,Support,Director,2020-11-01,162620,5095.0
5245,Morgan Lee,HR,Director,2025-09-18,171070,5094.0
5246,Quinn Walker,Finance,Senior Engineer,2022-11-28,130498,5005.0
5247,Riley Walker,Finance,Engineer,2019-03-28,83439,5094.0
5248,Jordan Adams,Support,Engineer,2019-02-13,58400,5078.0
5249,Drew Nguyen,Operations,Analyst,2019-04-17,144976,5076.0
5250,Cameron Scott,HR,Director,2024-07-21,184418,5004.0
5251,Alex Hall,HR,Senior Engineer,2024-05-03,79610,5013.0
5252,Sam Martin,Sales,Manager,2025-08-08,106356,5097.0
5253,Sam Lee,Engineering,Senior Engineer,2021-06-25,215647,5017.0
5254,Quinn Martin,Operations,Engineer,2021-06-09,74728,5012.0
5255,Drew Scott,Operations,Director,2024-02-26,172702,5032.0
5256,Drew Walker,Sales,Analyst,2022-06-30,84067,5090.0
5257,Drew Martin,Finance,Specialist,2023-09-21,100262,5044.0
5258,Alex Walker,Support,Senior Engineer,2021-09-20,56628,5091.0
5259,Riley Walker,Operations,Analyst,2023-06-25,160068,5029.0
5260,Jordan Nguyen,HR,Engineer,2018-06-14,130057,5018.0
5261,Drew Walker,Sales,Manager,2018-08-26,159049,5046.0
5262,Cameron Green,Support,Senior Engineer,2022-06-24,211452,5059.0
5263,Jordan Walker,Support,Specialist,2015-08-21,114853,5035.0
5264,Alex Lee,Operations,Engineer,2023-05-28,214995,5031.0
5265,Drew Lee,Engineering,Director,2016-07-02,89058,5017.0
5266,Quinn Lee,HR,Senior Engineer,2024-02-19,111162,5023.0
5267,Alex Young,Support,Analyst,2023-06-12,149416,5065.0
5268,Jordan Hall,HR,Senior Engineer,2021-12-18,205042,5033.0
5269,Morgan Hall,Operations,Engineer,2024-04-10,93891,5003.0
5270,Morgan Hall,Sales,Engineer,2016-09-09,191002,5009.0
5271,Quinn Green,Support,Analyst,2025-02-26,105107,5033.0
5272,Taylor Lee,Operations,Specialist,2022-12-05,116953,5092.0
5273,Sam Adams,Support,Engineer,2017-10-02,163433,5034.0
5274,Quinn Hall,Sales,Senior Engineer,2021-08-28,104108,5001.0
5275,Morgan Scott,HR,Specialist,2017-10-13,87574,5038.0
5276,Quinn Scott,HR,Analyst,2016-10-03,160287,5065.0
5277,Casey Martin,Support,Engineer,2015-11-12,195929,5057.0
5278,Morgan Young,Operations,Engineer,2021-04-22,209585,5024.0
5279,Riley Adams,Sales,Senior Engineer,2016-03-16,155434,5067.0
5280,Drew Walker,Finance,Engineer,2018-02-12,78593,5061.0
5281,Riley Lee,HR,Senior Engineer,2021-06-04,143219,5012.0
5282,Taylor Green,Finance,Director,2017-07-03,157044,5011.0
5283,Quinn Young,Support,Specialist,2018-02-21,204956,5052.0
5284,Casey Nguyen,Finance,Senior Engineer,2021-04-22,113986,5064.0
5285,Morgan Nguyen,Operations,Manager,2022-05-22,191379,5095.0
5286,Drew Allen,Operations,Engineer,2019-10-08,67904,5039.0
5287,Casey Walker,Finance,Director,2015-02-16,160071,5075.0
5288,Casey Lee,Operations,Specialist,2019-10-19,149714,5007.0
5289,Riley Young,HR,Analyst,2020-01-29,199654,5088.0
5290,Sam Nguyen,Support,Manager,2023-01-29,112965,5061.0
5291,Jordan Allen,Finance,Analyst,2021-11-15,156448,5060.0
5292,Sam Green,HR,Manager,2024-05-14,194097,5009.0
5293,Quinn Lee,Finance,Director,2018-02-20,139724,
5294,Quinn Nguyen,HR,Specialist,2020-09-09,62604,5068.0
5295,Sam Hall,Operations,Director,2020-06-30,213362,5007.0
5296,Jordan Scott,Operations,Director,2015-02-24,62871,5008.0
5297,Morgan Allen,Support,Manager,2021-01-09,157318,5014.0
5298,Casey Green,Operations,Senior Engineer,2016-03-31,131981,5005.0
5299,Casey Nguyen,Sales,Specialist,2021-05-22,131574,5060.0
5300,Sam Green,HR,Analyst,2015-02-05,166376,5039.0
5301,Sam Walker,HR,Senior Engineer,2017-03-28,166358,5022.0
5302,Alex Martin,Finance,Senior Engineer,2020-04-17,189577,5041.0
5303,Jordan Allen,Support,Engineer,2019-12-26,139605,5083.0
5304,Riley Young,Engineering,Analyst,2020-04-30,200490,5092.0
5305,Casey Young,Operations,Manager,2025-10-31,71411,5046.0
5306,Riley Nguyen,Engineering,Engineer,2015-09-13,153569,5054.0
5307,Drew Hall,Sales,Engineer,2021-02-03,64498,5021.0
5308,Morgan Hall,Support,Director,2024-11-28,111257,5048.0
5309,Sam Walker,HR,Manager,2024-02-08,141995,5073.0
5310,Alex Young,Engineering,Senior Engineer,2016-05-22,208275,5046.0
5311,Alex Allen,Sales,Specialist,2025-04-03,148566,5026.0
5312,Quinn Scott,Support,Senior Engineer,2015-01-21,170498,5056.0
5313,Drew Hall,Sales,Senior Engineer,2025-08-13,141596,5094.0
5314,Morgan Young,Operations,Director,2020-10-23,101917,5088.0
5315,Morgan Martin,Engineering,Senior Engineer,2016-12-19,180154,5075.0
5316,Taylor Allen,Finance,Analyst,2016-04-04,75930,5023.0
5317,Sam Scott,Finance,Senior Engineer,2020-06-30,134029,5020.0
5318,Quinn Martin,Support,Senior Engineer,2018-04-16,68638,5083.0
5319,Jordan Young,Sales,Analyst,2018-11-06,60724,5013.0
5320,Jordan Nguyen,HR,Director,2017-11-26,120738,5058.0
5321,Cameron Adams,Engineering,Engineer,2020-06-17,153705,5040.0
5322,Morgan Adams,Finance,Manager,2023-09-27,188099,5043.0
5323,Riley Walker,Finance,Director,2020-07-29,200879,5042.0
5324,Drew Walker,Sales,Senior Engineer,2020-04-22,148962,5089.0
5325,Alex Scott,Finance,Engineer,2022-05-01,118109,5003.0
5326,Sam Martin,Sales,Manager,2020-08-10,96849,5077.0
5327,Drew Young,Engineering,Manager,2019-10-11,55178,5082.0
5328,Casey Young,Sales,Manager,2023-03-03,60817,5093.0
5329,Taylor Nguyen,Finance,Analyst,2021-06-16,127721,5042.0
5330,Alex Green,Sales,Analyst,2018-05-16,180762,5047.0
5331,Drew Walker,Finance,Engineer,2018-03-23,58984,5095.0
5332,Drew Green,Operations,Senior Engineer,2017-01-31,119096,5042.0
5333,Taylor Green,Support,Engineer,2016-11-13,141941,5047.0
5334,Drew Nguyen,Finance,Senior Engineer,2021-06-20,142432,5029.0
5335,Quinn Green,Finance,Director,2021-06-12,200707,
5336,Alex Green,Finance,Manager,2019-03-08,164914,5040.0
5337,Casey Nguyen,Support,Manager,2016-09-10,217414,5063.0
5338,Alex Hall,Operations,Analyst,2025-03-15,109680,5067.0
5339,Taylor Green,HR,Director,2019-03-24,165326,
5340,Casey Walker,Finance,Specialist,2025-01-25,184094,5079.0
5341,Jordan Nguyen,HR,Director,2020-04-17,62988,5046.0
5342,Sam Allen,Engineering,Senior Engineer,2023-09-04,87070,5049.0
5343,Morgan Green,Operations,Director,2024-10-01,152491,5095.0
5344,Jordan Hall,Sales,Analyst,2015-01-07,133132,5024.0
5345,Quinn Walker,HR,Senior Engineer,2025-07-24,78659,5074.0
5346,Alex Lee,Operations,Engineer,2023-06-11,130952,5055.0
5347,Casey Walker,Engineering,Senior Engineer,2022-01-05,205243,5068.0
5348,Sam Martin,Operations,Engineer,2025-12-31,108778,5038.0
5349,Sam Allen,Sales,Specialist,2015-12-15,153113,5024.0
5350,Taylor Adams,Finance,Senior Engineer,2023-02-12,77736,5052.0
5351,Taylor Young,Finance,Manager,2017-10-27,112781,5034.0
5352,Taylor Martin,Finance,Specialist,2021-12-22,159192,5018.0
5353,Riley Nguyen,Support,Engineer,2021-11-27,90126,5083.0
5354,Alex Nguyen,Support,Analyst,2016-06-07,181734,5044.0
5355,Cameron Young,Support,Specialist,2020-02-19,84652,5083.0
5356,Quinn Scott,Support,Specialist,2023-07-26,60390,5044.0
5357,Drew Scott,Engineering,Specialist,2016-08-12,141136,5053.0
5358,Quinn Young,Operations,Engineer,2025-01-05,120942,5099.0
5359,Morgan Nguyen,Engineering,Engineer,2021-03-30,108492,5094.0
5360,Taylor Walker,Finance,Senior Engineer,2022-10-09,153300,5023.0
5361,Morgan Allen,Sales,Manager,2023-06-29,153531,5086.0
5362,Quinn Hall,Support,Specialist,2021-08-11,166473,5035.0
5363,Riley Adams,Operations,Senior Engineer,2025-09-02,139104,5002.0
5364,Morgan Allen,Sales,Senior Engineer,2025-01-26,130969,5055.0
5365,Alex Young,Engineering,Manager,2020-01-18,182633,5097.0
5366,Casey Nguyen,Support,Senior Engineer,2015-02-25,177439,5097.0
5367,Cameron Scott,Engineering,Manager,2020-08-19,103481,5008.0
5368,Cameron Nguyen,Engineering,Analyst,2020-04-22,83612,5075.0
5369,Quinn Scott,HR,Manager,2021-01-03,142743,5079.0
5370,Drew Allen,Operations,Director,2015-12-30,196867,5033.0
5371,Taylor Martin,Engineering,Manager,2025-01-18,72564,5064.0
5372,Quinn Walker,Finance,Manager,2015-09-10,103603,5046.0
5373,Morgan Allen,Engineering,Director,2025-04-28,155403,5018.0
5374,Riley Walker,Support,Manager,2023-03-07,186585,5074.0
5375,Casey Green,Finance,Engineer,2025-06-13,66324,5022.0
5376,Cameron Allen,Engineering,Senior Engineer,2018-06-30,70491,5030.0
5377,Jordan Lee,Finance,Senior Engineer,2019-01-06,134229,5014.0
5378,Cameron Lee,Engineering,Analyst,2017-01-05,89600,5070.0
5379,Casey Walker,Operations,Analyst,2015-12-06,119179,5043.0
5380,Alex Green,Finance,Director,2024-10-27,196944,5041.0
5381,Morgan Walker,Sales,Engineer,2018-10-08,185047,5058.0
5382,Sam Young,HR,Analyst,2016-09-15,66358,5011.0
5383,Riley Lee,Finance,Senior Engineer,2016-12-05,126343,5089.0
5384,Drew Nguyen,Support,Analyst,2025-03-13,81503,5043.0
5385,Jordan Walker,HR,Analyst,2015-11-19,107268,5033.0
5386,Quinn Walker,HR,Manager,2018-03-09,102905,5008.0
5387,Taylor Adams,Engineering,Analyst,2022-12-18,117668,5012.0
5388,Taylor Hall,Finance,Director,2020-05-28,208306,5091.0
5389,Taylor Hall,Operations,Senior Engineer,2019-01-08,217047,5042.0
5390,Jordan Scott,HR,Director,2020-11-12,143104,5070.0
5391,Casey Green,Support,Director,2016-07-06,83106,5003.0
5392,Drew Lee,Operations,Specialist,2024-07-23,113438,5062.0
5393,Cameron Lee,Operations,Engineer,2019-03-18,103397,5091.0
5394,Quinn Hall,Support,Specialist,2017-02-28,106275,5026.0
5395,Sam Walker,Support,Specialist,2018-03-19,109034,5055.0
5396,Drew Walker,Engineering,Manager,2016-07-06,202089,5093.0
5397,Quinn Lee,Sales,Director,2024-05-15,134372,5070.0
5398,Sam Green,Finance,Engineer,2015-04-26,134722,5001.0
5399,Riley Martin,HR,Senior Engineer,2016-09-23,89432,5034.0
5400,Casey Young,Finance,Senior Engineer,2024-01-22,208829,5003.0
5401,Riley Adams,Operations,Engineer,2015-09-27,102188,5085.0
5402,Casey Lee,HR,Director,2017-05-10,183161,5060.0
5403,Morgan Scott,Engineering,Director,2015-10-18,86116,5095.0
5404,Cameron Martin,Finance,Manager,2018-12-28,113738,
5405,Alex Lee,Engineering,Manager,2020-08-18,75456,5039.0
5406,Alex Adams,Engineering,Specialist,2019-11-10,189706,5005.0
5407,Casey Hall,Finance,Senior Engineer,2016-09-21,104366,5031.0
5408,Alex Lee,Finance,Manager,2022-12-21,181934,5011.0
